epoch,train_loss,val_loss,bleu
1,7.614639408356727,6.462180932362874,
2,6.2334675965047115,5.608526456923712,
3,5.624233839342366,5.239687851497105,
4,5.279501490991184,5.0230640683855325,
5,5.054924211528722,4.86309764498756,
6,4.892117852344531,4.790286291213262,
7,4.7649862062335195,4.72524508975801,
8,4.665607778228836,4.657155945187523,
9,4.581821088870835,4.646864800226121,
10,4.503167112730039,4.602261134556362,22.340896253228255
11,4.432726437984065,4.573724928356352,
12,4.3723328096531295,4.578280199141729,
13,4.330436532891933,4.587653228214809,
14,4.2855858206193815,4.579286756969633,
15,4.243595597019332,4.584559190840948,
16,4.205461970696128,4.55890991574242,
17,4.1714332402770244,4.575831685747419,
18,4.142643137623605,4.559822014399937,
19,4.119897715092741,4.610076177687872,
20,4.102723158727112,4.5992477507818315,24.56334573269579
21,4.08584586532543,4.6223736717587425,
22,4.069876196072806,4.598336605798631,
23,4.059287353318435,4.594009581066313,
24,4.049884452615529,4.620065484728132,
25,4.041361312768505,4.633979479471843,
26,4.036949110045932,4.6314553533281595,
27,4.0317075564157365,4.641669954572405,
28,4.026757744297926,4.644912288302467,
29,4.022744741472388,4.648976553054083,
30,4.019268306431952,4.650855541229248,24.791759306586123
