epoch,train_loss,val_loss,bleu
1,7.624630384880429,6.490372317177909,
2,6.250742635605536,5.67269347962879,
3,5.642631828766437,5.2508001781645275,
4,5.284792168767361,5.047874768575032,
5,5.052667470645994,4.863604136875698,
6,4.886781487173266,4.77499718893142,
7,4.761300392677902,4.72453480675107,
8,4.656339080908846,4.662209283737909,
9,4.567050394675851,4.651772430964878,
10,4.487103677025422,4.607016359056745,22.321906425773452
11,4.426582296010834,4.595627012706938,
12,4.37747170717144,4.608527932848249,
13,4.3274302372315105,4.574663911546979,
14,4.278451401637378,4.57989365713937,
15,4.233533913731686,4.587596280234201,
16,4.192173480469409,4.567558969770159,
17,4.157775501774099,4.577237447102864,
18,4.127743444987536,4.557633241017659,
19,4.103008621118706,4.599362259819394,
20,4.082869316324318,4.605856395903087,24.28382917650878
21,4.0672993319480915,4.593685399918329,
22,4.052909469870964,4.618671916780018,
23,4.042739469640116,4.6124933787754605,
24,4.033724674117081,4.618771325974238,
25,4.026447287186152,4.629953043801444,
26,4.022906515029083,4.633372602008638,
27,4.018279983404445,4.639295328231085,
28,4.013502214607042,4.633058547973633,
29,4.0088925466001575,4.641812597002302,
30,4.005133965118299,4.644177300589425,24.58349609268659
