epoch,train_loss,val_loss,bleu
1,8.272519924965604,7.691082659221831,
2,7.843210419006726,7.63627442859468,
3,7.817749285468475,7.616315455663772,
4,7.70692295067357,9.584148270743233,
5,7.6214055000939975,9.846255257016136,
6,7.6028508820248035,9.756746110462007,
7,7.581850085781065,9.894001188732329,
8,7.569526105813823,9.559705007643927,
9,7.560664842973322,9.634565353393555,
10,7.54968368159581,9.662731443132673,0.0023688533368510143
11,7.536612528445964,10.144294239225841,
12,7.524895116136297,9.894071578979492,
13,7.519288331446016,9.668912751334053,
14,7.513578091005256,10.223471914018903,
15,7.509461666256402,10.167907260713124,
16,7.505822360238019,10.093411581856865,
17,7.501245287552046,9.948153359549385,
18,7.4961240943712095,10.172309966314407,
19,7.490529356592007,10.075776508876256,
20,7.486817030239016,10.452930314200264,0.01702001487757177
21,7.482106489041176,10.151570002237955,
22,7.477871440205282,10.109872545514788,
23,7.474982294374577,10.247793333871025,
24,7.471500383256867,10.15434505825951,
25,7.468279148102991,10.24546023777553,
26,7.466007837853939,10.196246692112513,
27,7.464830572506687,10.201579411824545,
28,7.463577043858422,10.201915014357795,
29,7.4624439163705425,10.20724564506894,
30,7.462085791827358,10.201801799592518,0.011240774585100704
